episode,episode_reward,final_money,loss,epsilon,invalid_rate,missed_charger_days,best_money_so_far,eval_final_money_mean,eval_final_money_std,eval_reward_mean,eval_reward_std,eval_missed_charger_days_mean,eval_invalid_rate_mean
1,138.00795000000068,166.7039999999996,nan,0.9993645555555556,0.0212624584717608,5.0,166.7039999999996,nan,nan,nan,nan,nan,nan
2,147.0789500000008,174.6909999999995,nan,0.9987291111111111,0.025913621262458473,5.0,174.6909999999995,nan,nan,nan,nan,nan,nan
3,79.25895200000217,105.68299999999999,nan,0.9981185777777778,0.025587828492392807,6.0,174.6909999999995,nan,nan,nan,nan,nan,nan
4,127.1009480000014,155.64299999999938,nan,0.9974582222222222,0.024296675191815855,4.0,174.6909999999995,nan,nan,nan,nan,nan,nan
5,89.17195600000093,111.71599999999958,nan,0.9968975111111111,0.03614457831325301,8.0,174.6909999999995,nan,nan,nan,nan,nan,nan
6,142.22294600000103,168.65699999999953,nan,0.9962122444444445,0.024029574861367836,3.0,174.6909999999995,nan,nan,nan,nan,nan,nan
7,214.1859479999969,243.63799999999918,nan,0.9955518888888889,0.024936061381074168,4.0,243.63799999999918,nan,nan,nan,nan,nan,nan
8,146.951943999997,176.57799999999898,nan,0.9948417111111111,0.02140309155766944,3.0,243.63799999999918,nan,nan,nan,nan,nan,nan
9,156.31394800000223,115.7159999999999,nan,0.9941813555555555,0.023657289002557546,4.0,243.63799999999918,nan,nan,nan,nan,nan,nan
10,169.11394399999875,184.65599999999944,0.17893514037132263,0.9934711777777778,0.02140309155766944,3.0,243.63799999999918,nan,nan,nan,nan,nan,nan
11,219.0759539999972,244.67799999999917,0.00514882430434227,0.9928855555555556,0.033886085075702954,7.0,244.67799999999917,nan,nan,nan,nan,nan,nan
12,82.20695400000184,100.71099999999993,0.11364717781543732,0.9922999333333333,0.03821196827685652,7.0,244.67799999999917,nan,nan,nan,nan,nan,nan
13,102.3239520000012,129.6559999999995,0.006538407411426306,0.9916894,0.024204702627939143,6.0,244.67799999999917,nan,nan,nan,nan,nan,nan
14,151.98994799999858,179.64999999999884,0.18196913599967957,0.9910290444444444,0.02877237851662404,4.0,244.67799999999917,nan,nan,nan,nan,nan,nan
15,220.30395199999836,249.65599999999918,0.06775426864624023,0.9904185111111111,0.0318118948824343,6.0,249.65599999999918,nan,nan,nan,nan,nan,nan
16,115.22594800000145,139.72399999999948,0.08339466154575348,0.9897581555555556,0.026214833759590793,4.0,249.65599999999918,nan,nan,nan,nan,nan,nan
17,170.9099499999983,182.63799999999893,0.1502457559108734,0.9891227111111112,0.02524916943521595,5.0,249.65599999999918,nan,nan,nan,nan,nan,nan
18,127.92894999999922,161.6369999999992,0.1394186019897461,0.9884872666666666,0.029235880398671095,6.0,249.65599999999918,nan,nan,nan,nan,nan,nan
19,89.05195200000068,121.65599999999955,0.09479116648435593,0.9878767333333334,0.03872752420470263,6.0,249.65599999999918,nan,nan,nan,nan,nan,nan
20,248.6049559999982,255.65899999999945,0.524321436882019,0.9873160222222223,0.03463855421686747,8.0,255.65899999999945,nan,nan,nan,nan,nan,nan
21,116.24594600000155,144.62599999999932,0.8847196102142334,0.9866307555555556,0.021565003080714726,3.0,255.65899999999945,nan,nan,nan,nan,nan,nan
22,45.194954000000514,44.73900000000029,0.31447553634643555,0.9860451333333333,0.03028118240807498,7.0,255.65899999999945,nan,nan,nan,nan,nan,nan
23,74.9279500000016,86.69599999999971,0.2786773145198822,0.9854096888888889,0.027906976744186046,5.0,255.65899999999945,nan,nan,nan,nan,nan,nan
24,110.33395200000112,137.67599999999976,0.6453524231910706,0.9847991555555555,0.03250345781466114,6.0,255.65899999999945,nan,nan,nan,nan,nan,nan
25,199.84395399999832,191.6979999999993,0.4629100561141968,0.9842135333333333,0.029560201874549386,8.0,255.65899999999945,nan,nan,nan,nan,nan,nan
26,80.62495800000134,98.7149999999994,0.7501651048660278,0.9836777333333333,0.04412923561859732,9.0,255.65899999999945,nan,nan,nan,nan,nan,nan
27,171.89094599999788,200.6269999999988,1.150679111480713,0.9829924666666666,0.02279728897104128,3.0,255.65899999999945,nan,nan,nan,nan,nan,nan
28,-91.20005999999736,0.0,0.6760180592536926,0.9822324666666666,1.0,0.0,255.65899999999945,nan,nan,nan,nan,nan,nan
29,331.93594999999686,281.59800000000007,0.6246868968009949,0.9815970222222222,0.026578073089700997,6.0,281.59800000000007,nan,nan,nan,nan,nan,nan
30,202.03895199999693,225.6449999999989,1.4263592958450317,0.9809864888888888,0.030428769017980636,6.0,281.59800000000007,nan,nan,nan,nan,nan,nan
31,104.35195400000109,132.6899999999995,0.6539518237113953,0.9804008666666667,0.03965392934390771,7.0,281.59800000000007,nan,nan,nan,nan,nan,nan
32,198.59894799999586,227.64699999999883,1.0914361476898193,0.9797405111111112,0.024936061381074168,4.0,281.59800000000007,nan,nan,nan,nan,nan,nan
33,194.64995399999643,188.68799999999928,0.8239951133728027,0.9791548888888889,0.03028118240807498,7.0,281.59800000000007,nan,nan,nan,nan,nan,nan
34,209.1509419999983,218.5769999999986,1.0451643466949463,0.9784198,0.019529006318207927,1.0,281.59800000000007,nan,nan,nan,nan,nan,nan
35,201.40294799999742,235.6329999999989,1.3337293863296509,0.9777594444444444,0.023657289002557546,4.0,281.59800000000007,nan,nan,nan,nan,nan,nan
36,160.3389499999972,193.64499999999913,1.2953553199768066,0.977124,0.023255813953488372,6.0,281.59800000000007,nan,nan,nan,nan,nan,nan
37,164.2069480000007,195.64499999999973,1.2160224914550781,0.9764636444444444,0.02557544757033248,4.0,281.59800000000007,nan,nan,nan,nan,nan,nan
38,202.2679499999992,214.65399999999886,1.2276604175567627,0.9758282,0.030564784053156147,5.0,281.59800000000007,nan,nan,nan,nan,nan,nan
39,70.94794800000041,83.65800000000002,0.910642147064209,0.9751678444444445,0.020460358056265986,4.0,281.59800000000007,nan,nan,nan,nan,nan,nan
